Utterances,pos_neg,pos_neg_neutral
What are your prices?,positive,neutral
What time are you open?,positive,neutral
What payments are accepted?,positive,neutral
The food is overpriced.,negative,negative
What is your menu?,positive,neutral
The menu prices don't make sense.,negative,negative
overhyped and overpriced.,negative,negative
Whoever created this menu didn't use spellcheck.,negative,negative
We went last night. I think all of the staff were such kind hearted people. They would do well with a little feedback to help the business out. The food was delicious. They need some reassessment on the business front. Great potential there.,positive,neutral
that will avoid my embarassed reaction of getting a table and leaving after just a round of sodas and single mochi ice cream divided with guest plus tip.. bit expensive for me currently,negative,negative
I feel the same. Sadly a number of places are way out of my budget these days.,negative,negative
these prices really have me surprised.,negative,negative
Could it be that the portion sizes are different when ordering multiple proteins? (Insert sarcasm),negative,negative
"You're getting less steak with a combination order. Sub in a less expensive option (chicken & even some shrimp), and the price is less.",positive,neutral
"It all makes sense now, but everywhere I’ve gone to eat Hibachi style food, steak was the same size either if you order it by itself or with chicken. It was all the same size. Either way, I will definitely try the place out.",positve,neutral
More of a high priced meat. Depends what steak it is too. If it’s filet it’s definitely gonna be high,positive,neutral
It was so worth it. Not an every week meal for a family of 6 but good quality food. & customer service was on point - still have some things to work out but all in all a very nice treat,positive,positive
Well I eat jumbo shrimp and it doesn’t seem the serve it and I am afraid if they did it would be $40 for the meal. I will continue to go to Jacksonville,negative,negative
Well they have priced me out. I’ll stick with my China King or Rice & Noodles,negative,negative
My guess would be that they average both prices and serve a smaller portion of each protein.,negative,neutral
Steak costs more than chicken and shrimp. If you’re cutting the steak in half it would be less pairing it with a cheaper meat maybe?,positve,neutral
The portion of steak is smaller with a combo…,positve,neutral
"I can take that 100 bill and make a weeks worth of meals that probably taste better. I get it, you’re paying for the experience. If you wanna watch someone cook, go to Golden Corral.",negative,negative
I can’t it smells bad in there to me .. lol,negative,negative
Pricing inline for any hibachi I have visited. Have traveled extensively and been to many.,positive,neutral
Because of the amount of steak you are receiving.,positive,positive
I went yesterday and those prices are not correct there entree's were only $14.98 and up to $17.98 on the menus there,positive,positive
Probably the cut and portion of the steak affects the price.,positive,positive
Wafu last night. Food was delicious and staff was so much fun!,positive,positive
This menu looks yummy,positive,positive
"Y’all wanted it! Now we’re gonna see “The outrageous prices” posts for a month…
I told y’all Goldsboro won’t ready…😂",negative,negative
Go to Logans if you want a steak,negative,negative
They need a better dish washer,negative,negative
I'llIll just go to Sakura.....those prices are to high. That's crazy,negative,negative
$22 for hibachi chicken? Ummmmm.,negative,negative
I’ll never eat that lol,negative,negative
Sick of hearing about wafu,negative,negative
Won't be going there. Ain't worth it,negative,negative
"Wafu Steakhouse & Sushi Bar at this point I might of spelled out “Point Of Sale”, because everyone on this page is 110% convinced you mean “Piece Of Shi…….”",negative,negative
WAFU….. let’s see what all the fuss is about!,positive,neutral
Wafu was great. A little brightly lit and I can't say I was overwhelmed but it was tasty and I think as they get some time they will be fantastic.,positve,positive
Soft opening. Lived up to the hype for me! POS (point-of-sale) system was still a bit slow but no issues! Ordered Hibachi but sat in regular dining room. FOOD WAS GREAT!,positive,positive
We got Sushi too! The Sushi bar was open. It was great too!,positive,positive
We just left there. Soooo good and the people were so so nice! I’m fat and happy! Lol And the prices are reasonable. 10/10,positive,positive
I Had The Hibachi Steak & Shrimp. It Was Amazing,positive,positive
I heard you will need a second mortgage on your house to eat there!!!!,negative,negative
"Just finished dinner, the food was good but they were slow and when the cook came out, the grill had not been turned on yet…, so we had to wait longer.",positive,neutral
Had lunch today. It was worth the wait!,positive,neutral
Why one would find these prices outrageous is beyond me! Inflation definitely is a contributing factor.,positive,neutral